,address,maven_version,antler_dependency?,antler_version
227,SAP/vulnerability-assessment-tool,4.0.0,1,4.7.2
228,eclipse/winery,4.0.0,1,4.7.2
229,data-integrations/wrangler,4.0.0,0,0
230,xap/xap,4.0.0,0,0
231,xqdoc/xqdoc,4.0.0,1,4.7.2
232,opendaylight/yangtools,4.0.0,1,4.7.2
233,nielsbasjes/yauaa,4.0.0,0,0
234,yahoo/yql-plus,4.0.0,1,4.5
235,yesworkflow-org/yw-prototypes,4.0.0,0,0
236,ahmetaa/zemberek-nlp,4.0.0,0,0
